timestamp_(min),feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24
61,42095561,2551272,44862,103546,192025,182182,11722940,4133,11679,16027,40374,4866050,104360,56717,2699261,7405,6862613,3086,4939930,0,7884,44,14833,6836,5321
62,62957052,279314,1003,23847,35264,349324,20686763,9116,9833,22441,55575,7056901,162562,3579,335533,1861,24418836,3382,7690670,2,14430,0,4909,4512,1164
63,53947062,1681186,60648,75745,284739,324215,21590399,9073,12956,6996,33031,3062045,137984,32955,1691211,3755,23733480,285,2977750,0,72,0,20794,4276,1589
64,44268606,4882396,133873,49754,188047,396160,11288389,1855,27738,3113,21282,4052078,119070,137235,4450204,17743,10851160,2178,3329682,0,1851,3,26650,21047,8496
65,33994367,6246171,122108,6296,42158,86746,4541869,1313,3747,241,1230,4390040,31224,130015,6454067,6900,5035897,770,3787222,0,386,2,23041,12361,1652
66,39826117,6144875,129492,60409,193700,46372,4515217,249,2068,5017,28289,4142943,117489,136770,6173192,8442,4725295,497,3680383,0,1396,0,6315,5696,1521
67,33301860,5938450,123141,5720,65543,201947,4163262,2309,25477,700,14172,3884714,83711,97130,4733126,5975,3662247,1008,3641549,0,928,1,439,11098,2516
68,27795106,4850860,95361,22125,151478,98455,3413843,2224,8964,11743,33826,5077566,88919,88105,4503929,6922,3573195,337,1426738,0,66,1,16143,5270,1369
69,46980324,1404949,30806,75439,157648,218884,18157511,4965,9128,3649,12195,2622217,28569,31577,1622190,5726,16835863,2418,4161619,0,7836,0,4970,545,407
70,59609189,309968,3113,23466,52331,67330,25477528,99,1673,6183,23137,2436726,88367,4542,355615,2495,25174430,250,2415022,0,90,3,10666,15909,6649
71,44347004,3809724,102424,36742,151543,194651,7405346,2014,8242,4228,15659,4005734,115466,110067,4364590,14008,9850045,1113,2778789,0,770,1,3442,6501,2658
72,14493086,2519890,39853,2439,7711,11919,1117653,1302,1337,2,256,175,549,130243,7017708,2915,5252498,470,4561482,0,1057,0,135,1173,170
73,0,2517,385,37,2964,233,135,4,18,0,0,0,0,227,6046,65,425,1,0,0,0,0,0,25,1
74,287219,156233,5363,1021,12206,676,1020,3,68,11,969,1858,2501,1963,38444,745,92032,0,0,0,0,0,61,242,45
75,21088461,3859968,73142,808,5355,15667,47136,160,2370,11730,41438,423645,105884,2172,58104,719,154351,15,1421,0,2,2,2411,5234,1741
76,17481772,2679163,61268,41169,164564,294706,10052460,6612,16887,12254,38085,2925159,104648,44363,1422205,9868,7832845,2920,362689,0,1530,16,11971,6212,1220
77,48510901,954642,16092,46807,78107,156084,12401863,603,2655,4144,14065,2717680,42517,2343,248516,1088,19109476,2866,3365485,33,5557,0,2077,889,473
78,55636991,292775,3137,21277,48455,64237,23864870,41,1450,5413,11193,2811648,27936,1516,249496,744,19756851,240,2553413,0,1083,0,8256,2829,1642
79,30895421,1311722,56006,38523,194935,285379,5630766,3572,17963,12371,63800,2774043,354678,54853,1008746,19783,2928327,2338,2429007,0,309,6,22835,31947,15931
80,21099518,3117955,66190,152919,339074,122981,4586388,1127,7786,15329,42535,3330029,178504,124866,5773455,12922,4886579,3725,2961118,0,3667,0,1970,9933,3173
81,13245090,3752438,28662,118032,160000,49861,4788253,1566,3387,24607,59852,2265402,155408,66239,4069208,10739,3753177,881,3864106,0,2082,0,3538,9899,3648
82,14956083,3269619,25360,94875,245282,79348,4521749,929,2024,12059,25034,1085916,114411,33937,4041424,10080,4549666,3525,3351434,0,1198,0,236,1593,923
83,8966413,1717430,12790,92073,131705,411517,3916414,6308,22744,22962,45529,3721591,190495,9004,2950630,7605,3303975,3417,1555105,0,1456,2,32316,11859,1994
84,41534832,1817018,61930,83779,186183,273840,10997253,5669,15396,6209,16188,2993030,48923,62886,1864003,6965,14399646,2820,4240016,2,6500,4,16300,9146,1858
85,50662168,283866,3221,44901,122182,62822,22556456,148,1797,4824,10975,2613932,19619,18487,769709,7181,15669486,492,2569902,0,272,0,4007,2125,685
86,48518325,436032,19707,28571,140476,175666,17425121,831,7510,26553,75805,1664847,313277,17718,492495,7976,20798937,731,2638373,0,706,4,15927,15727,5629
87,7812953,1587347,73464,31182,127656,273591,5178737,1043,3107,11475,20415,1125893,160076,38873,1557083,24270,2199463,24557,1635920,0,2058,1,11657,15979,2966
88,16989133,3901573,105426,16184,49670,323076,2702648,4103,25183,10297,24091,1476246,306947,44257,1600537,16236,2210414,7270,1497477,22,1743,1,16702,7930,1263
89,29549868,7143909,121385,70617,158277,225797,1879569,817,3690,18568,53091,1829456,348472,92484,2962274,13337,3517055,1214,908863,0,815,10,29555,23319,9053
90,20976724,3282782,83815,112299,252967,249575,4021140,1163,2104,9793,31869,678442,114440,70814,3394019,8695,3684912,1328,1246412,0,2136,11,5670,8118,3599
91,15935998,1154616,30668,52329,136422,184019,9224028,2898,11742,3549,6139,3201621,9001,12500,431193,5090,18982521,2213,1937281,0,1943,87,10416,7160,3002
